Title,Authors,Journal Title,ISSN,ISBN,Publication Date,Volume,Issue,First Page,Page Count,Accession Number,DOI,Publisher,Doctype,Subjects,Keywords,Abstract,PLink
"Age Composition, Growth, and Density-Dependent Mortality in Juvenile Red Snapper Estimated from Observer Data from the Gulf of Mexico Penaeid Shrimp Fishery.","GAZEY, WILLIAM J.; GALLAWAY, BENNY J.; COLE, JOHN G.; FOURNIER, DAVID A.",North American Journal of Fisheries Management,2755947,,Dec-08,28,6,1828,15,36871572,10.1577/M07-216.1,Taylor & Francis Ltd,Article,"Fisheries; Bycatches (Fisheries); Fish populations; Mexico, Gulf of; Finfish Farming and Fish Hatcheries; Lutjanus campechanus; Mortality",,"Beginning in May 1998, the National Marine Fisheries Service has required that bycatch reduction devices be installed in penaeid shrimp trawl gear in the Gulf of Mexico. Changes in observer protocols were introduced, one of which was that all of the red snapper Lutjanus campechanus collected would be enumerated and measured when possible. This change has yielded catch and length information from the Gulf of Mexico shrimp fishery. To date, however, an integrated approach to determining the age composition, growth, and mortality of juvenile red snapper has not been attempted. To address this problem, we constructed a length-based, age-structured model to objectively estimate the growth and mortality parameters and age composition of the shrimp trawl bycatch of red snapper in the western Gulf of Mexico from 81 monthly length frequency data sets (a total of 239,521 fish were measured) from July 1999 to February 2007. Our modeling strategy was to make simple and straightforward representations of the deviations in growth from the mean trend, partial recruitment, density-dependent mortality, and population dynamics. Bayesian parameter estimation was accomplished by calculating the mode of the posterior distribution. Important findings of this paper include (1) the shrimp trawl bycatch during the first and third trimesters is dominated (86-87%) by age-0 fish, (2) the growth patterns of age-0 and age-1 red snapper suggest that the fish form an opaque annulus in winter months, (3) the natural mortality of age-0 fish appears to be about double (a minimum 70% increase) the value used in the last stock assessment, and (4) the evidence for density-dependent juvenile mortality is overwhelming. Inclusion of these findings in the red snapper stock assessment has the potential to substantially alter management practices.",http://search.ebscohost.com/login.aspx?direct=true&db=eih&AN=36871572&site=ehost-live
Alabama,,,,,2016,,,1,1,AL049000,,"World Book, Inc.",Reference Entry,ALABAMA,,"Alabama, one of the East South Central states of the U.S., bounded on the N by Tennessee, on the E by Georgia, on the S by Florida and the Gulf of Mexico, and on the W by Mississippi. The Chattahoochee R. forms much of the E boundary.",http://search.ebscohost.com/login.aspx?direct=true&db=funk&AN=AL049000&site=ehost-live
"Artificial Reef Types Affect Red Snapper Sizes, and Catch-and-Release Practices Inhibit Refuge-Seeking Behavior in Fish.","Harrison, Sarah",Fisheries,3632415,,Jun-15,40,6,246,2,103063339,10.1080/03632415.2015.1041201,Taylor & Francis Ltd,Article,Artificial reefs; European barracuda; Fishing; Fisheries; Finfish Farming and Fish Hatcheries; All Other Amusement and Recreation Industries; Lutjanus campechanus,,"Reviews of the articles ""Depth and Artificial Reef Type Effects on Size and Distribution of Red Snapper in the Northern Gulf of Mexico"" published in the ""North American Journal of Fisheries Management"" in 2015 and ""Fishing-Related Stressors Inhibit Refuge-Seeking Behavior in Released Subadult Great Barracuda"" published in the ""Transactions of the American Fisheries Society"" in 2014 are presented.",http://search.ebscohost.com/login.aspx?direct=true&db=eih&AN=103063339&site=ehost-live
Assessment of a shell bank and associated substrates as nursery habitat of postsettlement red snapper,"Rooker, J.R.; Landry Jr., A.M.; Geary, B.W.; Harper, J.A.",Estuarine Coastal & Shelf Science,2727714,,Apr-04,59,4,653,9,12311606,10.1016/j.ecss.2003.11.009,Academic Press Inc.,Article,Seashore; Lutjanus campechanus; Artificial substrates (Aquatic biology); Otoliths,barrier reef; bathymetric high; mortality; nursery ground; red snapper; shell bank; growth,"Trawl surveys were conducted in 2000 and 2001 to examine patterns of distribution and abundance of postsettlement red snapper (Lutjanus campechanus) on a shell bank, Freeport Rocks Bathymetric High (FRBH), in the northwestern Gulf of Mexico. In addition, otolith-based methods were used to determine age, hatch-date, growth and mortality of new recruits associated with FRBH. Date and region were significant factors affecting density of red snapper in 2000. Peak densities of red snapper were observed in July and August, and mean density among habitat types (shell bank, inshore mud, offshore mud) was similar (range: 50–52 ind hectare?1) in 2000. Alternatively, a habitat effect was detected during a limited survey conducted in 2001, with density higher on the shell bank than inshore or offshore mud habitat. Postsettlement red snapper were first detected at approximately 16 mm standard length, and individuals less than 20 mm were present in all habitats. Estimated ages of red snapper ranged from 26 to 121 d, with new settlers (?20 mm) typically less than 28 d. Predicted hatch dates ranged from early April to mid August with a single peak occurring from late May to early June. Growth rate for the April–May cohort (0.817 mm d?1) was similar to the June–July cohort (0.830 mm d?1). Habitat-specific differences in growth were observed, and rates were highest for individuals from the inshore habitat (0.881 mm d?1). Mortality rates (Z) during the early post-settlement period were approximated using catch curves, and early life mortality of red snapper was 12.1% d?1 (<f>Z=0.129</f>). While the difference in mortality between cohorts was negligible, a habitat-specific difference in mortality was observed. Mortality rate of red snapper inhabiting the inshore mud habitat (<f>Z=0.045</f>, 4.4% d?1) was lower than rates observed for individuals on the shell bank (<f>Z=0.120</f>, 11.9% d?1) or offshore (<f>Z=0.099</f>, 9.3% d?1) habitat. Individuals residing in the inshore habitat had significantly higher growth rates and significantly lower mortality rates, suggesting that recruitment potential was higher for these individuals.",http://search.ebscohost.com/login.aspx?direct=true&db=eih&AN=12311606&site=ehost-live
CCA concerned with 'sector separation',,,,,20101112,,,,,b6656cc2716c4663ac5aad956ba24490,,,Text Archive,Fish; Recreational fishing; Birds; Lakes; Animals; Coastlines and beaches; Crustaceans; Geese; Worms; Weather; Marine animals; Environment and nature; Hobbies; Recreation and leisure; Lifestyle; Recreational sports; Outdoor recreation; Arthropods; General news,,"Sector Separation is being promoted for federally managed fisheries in the Gulf of Mexico (for example, red snapper and grouper) according to the Coastal Conservation Association (CCA). It calls for the recreational sector poundage quota for a species to be split into two different categories: For Hire/Charter and Private Boat Recreational.",http://search.ebscohost.com/login.aspx?direct=true&db=apg&AN=b6656cc2716c4663ac5aad956ba24490&site=ehost-live
Depth and Artificial Reef Type Effects on Size and Distribution of Red Snapper in the Northern Gulf of Mexico.,"Jaxion-Harm, J.; Szedlmayer, S. T.",North American Journal of Fisheries Management,2755947,,Feb-15,35,1,86,11,101348929,10.1080/02755947.2014.982332,Taylor & Francis Ltd,Article,"Artificial reefs; Fish populations; Mexico, Gulf of; Lutjanus campechanus; Geographical distribution of fishes",,"The Red SnapperLutjanus campechanusis a highly exploited commercial and recreational species that dominates the artificial reef systems in the northern Gulf of Mexico. Off coastal Alabama there are few natural reefs, but in the last 50 years government programs and private fishers have placed numerous artificial reefs in the northeast Gulf of Mexico with the goal of increasing fisheries production. We examined the effects of artificial reef depth and reef type on Red Snapper densities and size distributions. We used hook-and-line, fish trap, and scuba visual surveys to estimate Red Snapper densities on four types of artificial reefs: army tanks, pyramids, small reefs (e.g., metal cages, pipelines), and large reefs (e.g., ships, dry docks, oil platforms). Small Red Snapper (<33 cm TL) were significantly more abundant at shallower depths (<35 m) and on small artificial reefs. Army tanks showed significantly more large fish (>33 cm TL) at shallow sites (<35 m) than at deeper sites (>35 m); in contrast, pyramids showed significantly more large fish at deeper sites. Ontogenetic habitat shift and fishing mortality were the most likely factors that would explain these Red Snapper distributions. Worldwide, artificial reefs are being used to enhance fishery resources and for habitat restoration. We document the importance of reef design and deployment location for Red Snapper, as well as the need for future artificial reef deployments to consider the relevant variables that affect the species that managers are attempting to enhance. Received May 4, 2014; accepted October 20, 2014",http://search.ebscohost.com/login.aspx?direct=true&db=eih&AN=101348929&site=ehost-live
Effect of Hypoxia on the Distribution of Fishes Associated with a Petroleum Platform off Coastal Louisiana.,"Stanley, David R.; Wilson, Charles A.",North American Journal of Fisheries Management,2755947,,May-04,24,2,662,10,13745575,,Taylor & Francis Ltd,Article,Hypoxia (Water); Fishes; Underwater acoustics; Surveys; Sampling (Process),,"A combination of hydroacoustics and visual survey techniques were used to estimate the abundance, size distribution, and species composition of fishes at a petroleum platform in the northern Gulf of Mexico. The effect of dissolved oxygen (DO) concentration on the density and distribution of fishes at this de facto artificial reef was examined. The techniques used permitted surveys of the entire water column, providing a more accurate reflection of the effect of a highly variable phenomenon (i.e., hypoxia) that may not be measured with traditional fisheries sampling equipment. Hypoxic conditions were observed during two of the five trips to the petroleum platform, South Timbalier 54. When hypoxia was present, fish density was dramatically higher in the strata immediately above the hypoxia. It was difficult to determine the exact impact of hypoxia on target strength (a measure of fish size), as the larger mean target strengths observed in the spring and summer may be due to seasonal factors and not to hypoxia alone. With the exception of the fall 1995 survey (which had significantly higher density and abundance estimates than other surveys), the estimated number of fishes did not vary among any of the sample periods. Even when 32% (15-22 m) of the water column was hypoxic (summer 1996), abundance estimates were slightly higher than in other survey periods without hypoxia (except fall 1995). While hypoxia reduced the availability of the water column to fishes, they concentrated where favorable DO levels were found. This included demersal species such as red snapper Lutjanus campechanus, which were found higher in the water column than expected.",http://search.ebscohost.com/login.aspx?direct=true&db=eih&AN=13745575&site=ehost-live
Effect of trawling on juvenile red snapper (Lutjanus campechanus) habitat selection and life history parameters.,"Wells, R. J. David; Cowan Jr, James H.; Patterson III, William F.; Walters, Carl J.",Canadian Journal of Fisheries & Aquatic Sciences,0706652X,,Nov-08,65,11,2399,12,35288930,10.1139/F08-145,Canadian Science Publishing,Article,"TRAWLS & trawling; LUTJANUS campechanus; HABITAT selection; FISH habitat; SHRIMPS; REEFS; MEXICO, Gulf of; Shellfish Farming; Salt water fishing",,"This study documents ontogenetic habitat shifts of red snapper (Lutjanus campechanus) and highlights possible impacts of shrimp trawling on age-0 fish life history parameters on the northern Gulf of Mexico (GOM) continental shelf. Red snapper were collected quarterly during 2004 and 2005 over sand, low-relief shell rubble, high-relief shell rubble, and natural high-relief reef habitats within a de facto nontrawl area and in similar habitats on the open shelf where commercial shrimp trawling occurred. Age-0 red snapper were most dense over sand and low-relief shell rubble habitats and moved to higher-relief shell rubble and natural reef habitats by age-1. Habitat-specific daily growth rates of age-0 fish were highest over sand (range 0.65–1.03 mm·day–1). Densities of age-0 red snapper were highest over trawled sand, but higher over nontrawled shell rubble by 6 months of age (age-0.5+). Red snapper collected over sand and low-relief shell rubble areas exposed to trawling had truncated size distributions, higher mortality estimates, and lower production potential (the latter evaluated with G–Z and P–B ratios) compared with fish over nontrawled areas of similar habitat. Results suggest that juvenile red snapper residing over nontrawled areas may have a higher probability of survival than fish in areas exposed to commercial shrimp trawling.",http://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=35288930&site=ehost-live
Experimental assessment of circle vs. J hook performance and selectivity in the northern Gulf of Mexico recreational reef fish fishery.,"Garner, Steven B.; Patterson III, William F.; Porch, Clay E.",ICES Journal of Marine Science / Journal du Conseil,10543139,,May/Jun2017,74,5,1437,11,123571162,10.1093/icesjms/fsx001,Oxford University Press / USA,Article,"Mexico, Gulf of; Sporting and Athletic Goods Manufacturing; Sporting Goods Stores; All other sporting goods stores; Fishhooks; Fishing tackle; Balistidae",circle hook; grey triggerfish; Gulf of Mexico selectivity; red snapper; reef fish; traumatic hooking,"Few data exist to evaluate the performance or assess the potential impacts of hook regulations on catchability or selectivity of recreational fisheries in the northern Gulf of Mexico. The purpose of this study was to test the effects of hook type (circle vs. J hook) and hook size (1/0, 4/0, and 7/0) on catch composition, traumatic hooking, species-specific catches, and size-selectivity of red snapper, Lutjanus campechanus, and grey triggerfish, Balistes capriscus. Selectivity was estimated by conditioning size distributions from hook-specific catches against in situ size distributions observed with a remotely operated vehicle. Deep hooking (hook set in gills or beyond) was low in all hook treatments for red snapper (<10%) and grey triggerfish (<6%), but was generally higher with J hooks, especially for other fishes caught with the largest J hook (34%). Hook type did not significantly affect catches, but catches decreased significantly with increasing hook size in all groups except red snapper. Selectivity curves were dome-shaped for both focus species in all hook treatments and selection peaks were similar among treatments for red snapper. Peak selectivity was 78.1mm larger for J hooks than circle hooks for grey triggerfish. Overall, study results indicate that the circle hook regulation may have reduced traumatic hooking mortality by up to 50%, and that catchability is similar between hook types for both red snapper and grey triggerfish when controlling for hook size. Strong dome-shaped selection estimated for nearly all selectivity curves suggest logistic size-selectivity assumptions in assessment models are likely inappropriate for recreational sectors targeting red snapper or grey triggerfish.",http://search.ebscohost.com/login.aspx?direct=true&db=eih&AN=123571162&site=ehost-live
Florida,,,,,2016,,,1,1,FL047100,,"World Book, Inc.",Reference Entry,FLORIDA,,"Florida, one of the South Atlantic states of the U.S. and the southernmost of the contiguous states. It is bounded on the N by Alabama and Georgia, on the E by the Atlantic Ocean, on the S by the Straits of Florida (separating it from Cuba), and on the W by the Gulf of Mexico and Alabama.",http://search.ebscohost.com/login.aspx?direct=true&db=funk&AN=FL047100&site=ehost-live
