Title,Authors
Physiological effects of swim bladder overexpansion and catastrophic decompression on red snapper,"Rummer, JL; Bennett, WA"
"Age and growth of red snapper, Lutjanus campechanus, from the northern Gulf of Mexico off Louisiana","Wilson, CA; Nieland, DL"
Red snapper (Lutjanus campechanus) demographic structure in the northern Gulf of Mexico based on spatial patterns in growth rates and morphometrics,"Fischer, AJ; Baker, MS; Wilson, CA"
"An alternative method for estimating bycatch from the US shrimp trawl fishery in the Gulf of Mexico, 1972-1995","Ortiz, M; Legault, CM; Ehrhardt, NM"
Microsatellite variation among red snapper (Lutjanus campechanus) from the Gulf of Mexico,"Gold, JR; Pak, E; Richardson, LR"
Assessment of a shell bank and associated substrates as nursery habitat of postsettlement red snapper,"Rooker, JR; Landry, AM; Geary, BW; Harper, JA"
Historical population demography of red snapper (Lutjanus campechanus) from the northern Gulf of Mexico based on analysis of sequences of mitochondrial DNA,"Pruett, C; Saillant, E; Gold, J"
Population structure and variation in red snapper (Lutjanus campechanus) from the Gulf of Mexico and Atlantic coast of Florida as determined from mitochondrial DNA control region sequence,"Garber, AF; Tringali, MD; Stuck, KC"
Influence of reef location on artificial-reef fish assemblages in the northcentral Gulf of Mexico,"Strelcheck, AJ; Cowan, JH; Shah, A"
FISH COMMUNITY AND TROPHIC STRUCTURE AT ARTIFICIAL REEF SITES IN THE NORTHEASTERN GULF OF MEXICO,"Dance, Michael A.; Patterson, William F., III; Addis, Dustin T."
Effect of hypoxia on the distribution of fishes associated with a petroleum platform off coastal Louisiana,"Stanley, DR; Wilson, CA"
"EFFECT OF CIRCLE HOOK SIZE ON REEF FISH CATCH RATES, SPECIES COMPOSITION, AND SELECTIVITY IN THE NORTHERN GULF OF MEXICO RECREATIONAL FISHERY","Patterson, William F., III; Porch, Clay E.; Tarnecki, Joseph H.; Strelcheck, Andrew J."
Effect of trawling on juvenile red snapper (Lutjanus campechanus) habitat selection and life history parameters,"Wells, R. J. David; Cowan, James H., Jr.; Patterson, William F., III; Walters, Carl J."
"A time series of observations on red snapper larvae from SEAMAP surveys, 1982-2003: Seasonal occurrence, distribution, abundance, and size","Lyczkowski-Shultz, Joanne; Hanisko, David S."
Fidelity of red snapper to petroleum platforms in the northern Gulf of Mexico,"Westmeyer, Megan P.; Wilson, Charles A., III; Nieland, David L."
"Age Composition, Growth, and Density-Dependent Mortality in Juvenile Red Snapper Estimated from Observer Data from the Gulf of Mexico Penaeid Shrimp Fishery","Gazey, William J.; Gallaway, Benny J.; Cole, John G.; Fournier, David A."
"Multiplex assay to identify eggs of three fish species from the northern Gulf of Mexico, using locked nucleic acid Taqman real-time PCR probes","Bayha, Keith M.; Graham, William M.; Hernandez, Frank J., Jr."
