Title,Authors
age validation of canary rockfish (sebastes pinniger) from off the oregon coast (usa) using the bomb radiocarbon method,"Piner, Kevin R;Hamel, Owen S;Menkel, Jennifer L;Wallace, John R;Hutchinson, Charles E"
historical population demography of red snapper (lutjanus campechanus) from the northern gulf of mexico based on analysis of sequences of mitochondrial dna,"Pruett, Christin L;Saillant, Eric;Gold, John R"
influence of reef location on artificial-reef fish assemblages in the northcentral gulf of mexico,"Strelcheck, Andrew J;Cowan, James H;Shah, Arvind"
physiological effects of swim bladder overexpansion and catastrophic decompression on red snapper,"Rummer, Jodie L;Bennett, Wayne A"
effectiveness of marine reserves for large-scale fisheries management,"Smith, Martin D;Zhang, Junjie;Coleman, Felicia C"
a stochastic approach to stock reduction analysis,"Walters, Carl J;Martell, Steven J D;Korman, Josh"
genetic impacts of shrimp trawling on red snapper (lutjanus campechanus) in the northern gulf of mexico,"Saillant, E;Bradfield, S C;Gold, J R"
"understanding the complexity of catch-and-release in recreational fishing: an integrative synthesis of global knowledge from historical, ethical, social, and biological perspectives","Arlinghaus, Robert;Cooke, Steven J;Lyman, Jon;Policansky, David;et al"
population structure of red snapper in the northern gulf of mexico,"Gold, J R;Saillant, E"
"a time series of observations on red snapper larvae from seamap surveys, 1982-2003: seasonal occurrence, distribution, abundance, and size","Lyczkowski-Shultz, J;Hanisko, D S"
a review of movement in gulf of mexico red snapper: implications for population structure,"Patterson, WF III"
fidelity of red snapper to petroleum platforms in the northern gulf of mexico,"Westmeyer, M P;Wilson, CA III;Nieland, D L"
temporal age progressions and relative year-class strength of gulf of mexico red snapper,"Allman, R J;Fitzhugh, G R"
"characterization of local populations of the common sole solea solea (pisces, soleidae) in the nw mediterranean through otolith morphometrics and shape analysis","Bastien Mérigot;Letourneur, Yves;Lecomte-Finiger, Raymonde"
"tasa de crecimiento en larvas de sardinella aurita valenciennes, 1847 (pisces: clupeidae) del morro de puerto santo, venezuela","María Alejandra Balza;Lemus, Mairin;Baumar Marín"
is adaptive management helping to solve fisheries problems?,"Walters, Carl J"
"seasonal, diel, and tidal movements of green jobfish (aprion virescens, lutjanidae) at remote hawaiian atolls: implications for marine protected area design","Meyer, Carl G;Papastamatiou, Yannis P;Holland, Kim N"
the impact of the 1997-1999 warm-sst and low-productivity episode on fisheries in the southwestern gulf of mexico,"Manzano-sarabia, M;Salinas-zavala, C A;Kahru, M;Lluch-cota, S E;González-becerril, A"
effect of trawling on juvenile red snapper (lutjanus campechanus) habitat selection and life history parameters,"Wells, R J David;Cowan, James H, Jr;Patterson, William F, III;Walters, Carl J"
"age composition, growth, and density-dependent mortality in juvenile red snapper estimated from observer data from the gulf of mexico penaeid shrimp fishery","Gazey, William J;Gallaway, Benny J;Cole, John G;Fournier, David A"
"seasonality, lunar periodicity of settlement and microhabitat association of juvenile humpback red snapper lutjanus gibbus (lutjanidae) in an okinawan coral reef","Nanami, Atsushi;Yamada, Hideaki"
"winter food utilisation by sympatric mysids in the baltic sea, studied by combined gut content and stable isotope analyses","Lehtiniemi, Maiju;Kiljunen, Mikko;Jones, Roger I"
red snapper larval transport in the northern gulf of mexico,"Johnson, Donald R;Perry, Harriet M;Lyczkowski-Shultz, Joanne;Hanisko, David"
fish assemblage structure on a drowned barrier island in the northwestern gulf of mexico,"Wells, R J; David;Harper, J O;Rooker, J R;Landry, A M;Dellapenna, T M"
conservation genetics of gray snapper (lutjanus griseus) in u.s. waters of the northern gulf of mexico and western atlantic ocean,"Gold, John R;Saillant, Eric;Ebelt, N Danielle;Lem, Siya"
"globalizing shrimp: florida's ""wild &amp; wonderful shrimp"" program","Grimes, John R;Yow, Donald M"
population structure and genetic variation of lane snapper (lutjanus synagris) in the northern gulf of mexico,"Karlsson, S;Saillant, E;Gold, J R"
nutrient enrichment and fisheries exploitation: interactive effects on estuarine living resources and their management,"Breitburg, D L;Craig, J K;Fulford, R S;Rose, K A;Boynton, W R;Brady, D C;Ciotti, B J;Diaz, R J;Friedland, K D;Hagy, J D;Hart, D R;Hines, A H;Houde, E D;Kolesar, S E;Nixon, S W;Rice, J A;Secor, D H;Targett, T E"
"elasmobranchs in southern indonesian fisheries: the fisheries, the status of the stocks and management options","Blaber, S J; M;Dichmont, C M;White, W;Buckworth, R;Sadiyah, L;Iskandar, B;Nurhakim, S;Pillans, R;Andamari, R;Dharmadi;Fahmi"
molecular identification methods of fish species: reassessment and possible applications,"Teletchea, Fabrice"
seasonal composition of benthic macroinfauna exposed to hypoxia in the northern gulf of mexico,"Baustian, Melissa M;Rabalais, Nancy N"
recruitment and ontogenetic habitat shifts of the yellow snapper (lutjanus argentiventris) in the gulf of california,"Aburto-Oropeza, Octavio;Dominguez-Guerrero, Isaí;Cota-Nieto, José;Plomozo-Lugo, Tomás"
feeding ecology of invasive lionfish (pterois volitans) in the bahamian archipelago,"Morris, James A;Akins, John L"
population characteristics of spotted rose snapper lutjanus guttatus caught as shrimp bycatch in the gulf of california/características poblacionales del pargo lunarejo lutjanus guttatus capturado con la fauna de acompañamiento del camarón en el golfo de california,"González-Ochoa, Oscar A;López-Martínez, Juana;Hernández-Saavedra, Norma Yolanda"
designing marine reserves to reduce bycatch of mobile species: a case study using juvenile red snapper (lutjanus campechanus),"Diamond, S L;Kleisner, K M;Duursma, DE;Wang, Yuning"
"a new species of cardicola short, 1953 (digenea: aporocotylidae) from the heart and branchial vessels of two surfperches (perciformes: embiotocidae) in the eastern pacific ocean off california","Bullard, Stephen A"
differential movement patterns and site fidelity among trophic groups of reef fishes in a hawaiian marine protected area,"Meyer, Carl G;Papastamatiou, Yannis P;Clark, Timothy B"
red snapper reproductive biology in the southern gulf of mexico,"Brule, Thierry;Colas-Marrufo, Teresa;Perez-Diaz, Esperanza;Samano-Zapata, Juan Carlos"
an overview of marine biodiversity in united states waters,"Fautin, Daphne;Dalton, Penelope;Incze, Lewis S;Leong, Jo-Ann C;Pautzke, Clarence;Rosenberg, Andrew;Sandifer, Paul;Sedberry, George;Tunnell, John W;Abbott, Isabella;Brainard, Russell E;Brodeur, Melissa;Eldredge, Lucius G;Feldman, Michael;Moretzsohn, Fabio;Vroom, Peter S;Wainstein, Michelle;Wolff, Nicholas"
identifying fishes through dna barcodes and microarrays,"Kochzius, Marc;Seidel, Christian;Antoniou, Aglaia;Botla, Sandeep Kumar;Campo, Daniel;Cariani, Alessia;Vazquez, Eva Garcia;Hauschild, Janet;Hervet, Caroline;Hjörleifsdottir, Sigridur;Hreggvidsson, Gudmundur;Kappel, Kristina;Landi, Monica;Magoulas, Antonios;Marteinsson, Viggo;Nölte, Manfred;Planes, Serge;Tinti, Fausto;Turan, Cemal;Venugopal, Moleyur N;Weber, Hannes;Blohm, Dietmar"
elucidating the trophodynamics of four coral reef fishes of the solomon islands using [delta]15n and [delta]13c,"Greenwood, N D; W;Sweeting, C J;Polunin, N V; C"
"brevetoxins in sharks and rays (chondrichthyes, elasmobranchii) from florida coastal waters","Flewelling, Leanne J;Adams, Douglas H;Naar, Jerome P;Atwood, Karen E;Granholm, April A;O'Dea, Sheila N;Landsberg, Jan H"
"changes in free amino acid profile of red snapper lutjanus campechanus, eggs, and developing larvae","Hastey, R P;Phelps, R P;Davis, D A;Cummins, K A"
"the use of otolith shape analysis for ageing juvenile red snapper, lutjanus campechanus","Beyer, Sabrina G;Szedlmayer, Stephen T"
sulfur isotopes in otoliths allow discrimination of anadromous and non-anadromous ecotypes of sockeye salmon (oncorhynchus nerka),"Godbout, Lyse;Trudel, Marc;Irvine, James R;Wood, Chris C;Grove, Marty J;Schmitt, Axel K;Mckeegan, Kevin D"
validation of first annulus formation in red snapper otoliths with the use of an alizarin complexone fluorescent marker,"Fischer, Andrew J;Chesney, Edward J;Cowan, James H"
"the effect of coring and pulverizing juvenile red snapper, lutjanus campechanus, otoliths on their chemical signatures","Barnett, Beverly K;Patterson, William F"
sea snakes anticipate tropical cyclone,"Liu, Y-L;Lillywhite, H B;Tu, M-C"
marine biodiversity in the atlantic and pacific coasts of south america: knowledge and gaps,"Miloslavich, Patricia;Klein, Eduardo;Díaz, Juan M;Hernández, Cristián E;Bigatti, Gregorio;Campos, Lucia;Artigas, Felipe;Castillo, Julio;Penchaszadeh, Pablo E;Neill, Paula E;Carranza, Alvar;Retana, María V;Astarloa, M Díazde;Lewis, Mirtha;Yorio, Pablo;Piriz, María L;Rodríguez, Diego;Yoneshigue-Valentin, Yocie;Gamboa, Luiz;Martín, Alberto"
"concurrent exposure of bottlenose dolphins (tursiops truncatus) to multiple algal toxins in sarasota bay, florida, usa","Twiner, Michael J;Fire, Spencer;Schwacke, Lori;Davidson, Leigh;Wang, Zhihong;Morton, Steve;Roth, Stephen;Balmer, Brian;Rowles, Teresa K;Wells, Randall S"
"cucullanid nematodes (nematoda: cucullanidae) from deep-sea marine fishes off new caledonia, including dichelyne etelidis n. sp.","Moravec, Frantisek;Justine, Jean-lou"
horizontal movements of atlantic blue marlin (makaira nigricans) in the gulf of mexico,"Kraus, Richard T;Wells, R J David;Rooker, Jay R"
low host specificity in the kudoidae (myxosporea: multivalvulida) including seventeen new host records for kudoa thalassomi,"Burger, Mieke A A;Adlard, Robert D"
descriptions of the u.s. gulf of mexico reef fish bottom longline and vertical line fisheries based on observer data,"Scott-Denton, E;Cryer, P F;Gocke, J P;Harrelson, M R;Kinsella, D L;Pulver, J R;Smith, R C;Williams, JA"
geographic structure in alaskan pacific ocean perch (sebastes alutus) indicates limited lifetime dispersal,"Palof, Katie J;Heifetz, Jonathan;Gharrett, Anthony J"
juvenile coral reef fish use sound to locate habitats,"Radford, C A;Stanley, J A;Simpson, S D;Jeffs, A G"
clarifying the taxonomic status of merluccius spp. in the northeastern pacific: a combined morphological and molecular approach,"Silva-segundo, Claudia A;Brito-chavarria, Mariela;Balart, Eduardo F;de los A Barriga-Sosa, Irene;Rojas-esquivel, Roberto;Roldán, María Inés;Murugan, Gopal;García-de León, Francisco J"
a review of the use of copepods in marine fish larviculture,"Ajiboye, O O;Yakubu, A F;Adams, T E;Olaji, E D;Nwogu, N A"
red snapper management in the gulf of mexico: science- or faith-based?,"Cowan, J H;Grimes, C B;Patterson, W F;Walters, C J;Jones, A C;Lindberg, W J;Sheehy, D J;Pine, W E;Powers, J E;Campbell, M D;Lindeman, K C;Diamond, S L;Hilborn, R;Gibson, H T;Rose, K A"
"validation of annual periodicity in otoliths of red snapper, lutjanus campechanus","Szedlmayer, Stephen T;Beyer, Sabrina G"
"making habitat selection more ""familiar"": a review","Piper, Walter H"
fish community and trophic structure at artificial reef sites in the northeastern gulf of mexico,"Dance, Michael A;Patterson, William F, III;Addis, Dustin T"
groupers on the edge: shelf edge spawning habitat in and around marine reserves of the northeastern gulf of mexico,"Coleman, Felicia C;Scanlon, Kathryn M;Koenig, Christopher C"
"size composition and reproductive biology of the ornate jobfish pristipomoides argyrogrammicus (lutjanidae) off ishigaki island, okinawa","Nanami, Atsushi"
two new gonad-infecting philometra species (nematoda: philometridae) from the marine fish lutjanus vitta (perciformes: lutjanidae) off new caledonia,"Moravec, Frantisek;Justine, Jean-Lou"
"an annotated list of fish parasites (isopoda, copepoda, monogenea, digenea, cestoda, nematoda) collected from snappers and bream (lutjanidae, nemipteridae, caesionidae) in new caledonia confirms high parasite biodiversity on coral reef fish","Justine, Jean-Lou;Beveridge, Ian;Boxshall, Geoffrey A;Bray, Rodney A;Miller, Terrence L;Moravec, Frantisek;Trilles, Jean-Paul;Whittington, Ian D"
otolith shape analysis for three sicyopterus (teleostei: gobioidei: sicydiinae) species from new caledonia and vanuatu,"Lord, Clara;Morat, Fabien;Lecomte-finiger, Raymonde;Keith, Philippe"
flux by fin: fish-mediated carbon and nutrient flux in the northeastern gulf of mexico,"Nelson, James;Wilson, Rachel;Coleman, Felicia;Koenig, Christopher;Devries, Doug;Gardner, Chris;Chanton, Jeff"
"the microecology of dactylogyrids (monogenea: dactylogyridae) on the gills of wild spotted rose snapper lutjanus guttatus (lutjanidae) from mazatlan bay, mexico","Soler-Jiménez, Lilia C;Fajer-Ávila, Emma J"
progress and problems in u.s. marine fisheries rebuilding plans,"Milazzo, Matteo J"
the gulf of mexico red snapper individual fishing quota program in florida: perceptions and implications,"Alsharif, Kamal;Miller, Nathan"
distribution and habitat associations of billfish and swordfish larvae across mesoscale features in the gulf of mexico,"Rooker, Jay R;Simms, Jeff R;Wells, R JDavid;Holt, Scott A;Holt, G Joan;Graves, John E;Furey, Nathan B"
"speciesmap: a web-based application for visualizing the overlap of distributions and pollution events, with a list of fishes put at risk by the 2010 gulf of mexico oil spill","Chakrabarty, Prosanta;Lam, Calvin;Hardman, Jori;Aaronson, Jacob;House, Parker H;Janies, Daniel A"
"effect of circle hook size on reef fish catch rates, species composition, and selectivity in the northern gulf of mexico recreational fishery","Patterson III, William F;Porch, Clay E;Tarnecki, Joseph H;Strelcheck, Andrew J"
angler heterogeneity and the species-specific demand for marine recreational fishing,"Haab, Timothy;Hicks, Robert;Schnier, Kurt;Whitehead, John C"
spatial heterogeneity in fishing creates de facto refugia for endangered celtic sea elasmobranchs,"Shephard, Samuel;Gerritsen, Hans;Kaiser, Michel J;Reid, David G"
stable isotope analysis reveals community-level variation in fish trophodynamics across a fringing coral reef,"Wyatt, A S; J;Waite, A M;Humphries, S"
"validation of age and growth of the picasso triggerfish (balistidae: rhinecanthus aculeatus) from okinawa island, japan, using sectioned vertebrae and dorsal spines","Künzli, Fabienne;Tachihara, Katsunori"
characterization of atlantic cod spawning habitat and behavior in icelandic coastal waters,"Grabowski, Timothy B;Boswell, Kevin M;McAdam, Bruce J;Wells, R JDavid;Marteinsdóttir, Gudrún"
influences of artificial reefs on juvenile red snapper along the mississippi gulf coast,"Brandt, Jason R;Jackson, Donald C"
small spatial scale variation in fish assemblage structure in the vicinity of the northwestern gulf of mexico hypoxic zone,"Craig, J Kevin;Bosman, Samantha H"
recent geological events and intrinsic behavior influence the population genetic structure of the chiru and tibetan gazelle on the tibetan plateau,"Zhang, Fangfang;Jiang, Zhigang;Xu, Aichun;Zeng, Yan;Li, Chunwang"
modeling the spatial distribution of commercially important reef fishes on the west florida shelf,"Saul, SE;Walter, JF III;Die, D J;Naar, D F;Donahue, B T"
statistical analysis on otolith data of anadromous fishes,"Gao, Yongwen;Conrad, Robert;Bean, David;Noakes, David L; G"
stable isotope variation in the northern gulf of mexico constrains bottlenose dolphin (tursiops truncatus) foraging ranges,"Wilson, R M;Nelson, J A;Balmer, B C;Nowacek, D P;Chanton, J P"
spatial distribution and conservation of speckled hind and warsaw grouper in the atlantic ocean off the southeastern u.s.,"Farmer, Nicholas A;Karnauskas, Mandy"
exploring patterns of seafood provision revealed in the global ocean health index,"Kleisner, Kristin M;Longo, Catherine;Coll, Marta;Halpern, Ben S;Hardy, Darren;Katona, Steven K;Le Manach, Frédéric;Pauly, Daniel;Rosenberg, Andrew A;Samhouri, Jameal F;Scarborough, Courtney;Rashid Sumaila, U;Watson, Reg;Zeller, Dirk"
"identifying carbon sources and trophic position of coral reef fishes using diet and stable isotope ([delta]^sup 15^n and [delta]^sup 13^c) analyses in two contrasted bays in moorea, french polynesia","Letourneur, Y;Lison De Loma, T;Richard, P;Harmelin-vivien, M L;Cresson, P;Banaru, D;Fontaine, M-f;Gref, T;Planes, S"
topography and biological noise determine acoustic detectability on coral reefs,"Cagua, E F;Berumen, M L;Tyler, E H; M"
"dactylogyrids (monogenoidea: polyonchoinea) parasitising the gills of snappers (perciformes: lutjanidae): species of euryhaliotrema kritsky &amp; boeger, 2002 from the golden snapper lutjanus johnii (bloch) off northern australia, with a redescription of euryhaliotrema johni (tripathi, 1959) and descriptions of two new species","Kritsky, Delane C;Diggles, Ben K"
"limited genetic structure among broad-scale regions for two commercially harvested, tropical deep-water snappers in new caledonia","Loeun, Kim L;Goldstien, Sharyn;Gleeson, Dianne;Nicol, Simon J;Bradshaw, Corey J; A"
regional correspondence in habitat occupancy by gray snapper (lutjanus griseus) in estuaries of the southeastern united states,"Flaherty, Kerry E;Switzer, Theodore S;Winner, Brent L;Keenan, Sean F"
"synopsis of the species of kudoa meglitsch, 1947 (myxozoa: myxosporea: multivalvulida)","Eiras, Jorge Costa;Saraiva, Aurélia;Cruz, Cristina"
a review of detection range testing in aquatic passive acoustic telemetry studies,"Kessel, S T;Cooke, S J;Heupel, M R;Hussey, N E;et al"
"habitat, movements and environmental preferences of dusky sharks, carcharhinus obscurus, in the northern gulf of mexico","Hoffmayer, Eric R;Franks, James S;Driggers, William B;Mckinney, Jennifer A;Hendon, Jill M;Quattro, Joseph M"
social network analysis of price dispersion in fishing quota lease markets,"Ropicki, Andrew J;Larkin, Sherry L"
the gulf of mexico red snapper ifq program: the first five years,"Agar, Juan J;Stephen, Jessica A;Strelcheck, Andy;Diagne, Assane"
"three new gonad-infecting species of philometra (nematoda: philometridae) parasitic in lutjanus spp. (lutjanidae) in the northern gulf of mexico off florida, usa","Moravec, Frantisek;Bakenhaster, Micah;Fajer-Ávila, Emma J"
"wide-spread genetic variability and the paradox of effective population size in the gag, mycteroperca microlepis, along the west florida shelf","Jue, Nathaniel K;Coleman, Felicia C;Koenig, Christopher C"
"marine communities on oil platforms in gabon, west africa: high biodiversity oases in a low biodiversity environment","Friedlander, Alan M;Ballesteros, Enric;Fay, Michael;Sala, Enric"
occupancy models for monitoring marine fish: a bayesian hierarchical approach to model imperfect detection with a novel gear combination,"Coggins, Lewis G;Bacheler, Nathan M;Gwinn, Daniel C"
utilizing oral histories to understand the social networks of oregon fishermen in alaska,"Package-Ward, Christina;Himes-Cornell, Amber"
stable isotopes in fish eye lenses as potential recorders of trophic and geographic history,"Wallace, Amy A;Hollander, David J;Peebles, Ernst B"
the reproductive biology of the grey triggerfish balistes capriscus (pisces: balistidae) in the gulf of gabès (south-eastern mediterranean sea),"Kacem, Hichem;Neifar, Lassâd"
"age, growth, and reproductive biology of blacktail snapper, lutjanus fulvus, around the yaeyama islands, okinawa, japan","Shimose, Tamaki;Nanami, Atsushi"
"distribution, food preference, and trophic position of the corallivorous fireworm hermodice carunculata in a caribbean coral reef","Wolf, Alexander T;Nugues, Maggy M;Wild, Christian"
"helminth parasites of the red snapper, lutjanus campechanus (perciformes: lutjanidae) from the reef santiaguillo, veracruz, mexico","Montoya-Mendoza, Jesús;Jiménez-Badillo, Lourdes;Salgado-Maldonado, Guillermo;Mendoza-Franco, Edgar F"
"recreational fisheries in the usa: economics, management strategies, and ecological threats","Hughes, Robert M"
taxonomy and systematics of larval indo-pacific fishes: a review of progress since 1981,"Leis, Jeffrey M"
time for fishing: bargaining power in the swedish baltic cod fishery,"Blomquist, Johan;Hammarlund, Cecilia;Waldo, Staffan"
fighting over a red herring: the role of economics in recreational-commercial allocation disputes,"Abbott, Joshua K"
depth and artificial reef type effects on size and distribution of red snapper in the northern gulf of mexico,"Jaxion-Harm, J;Szedlmayer, ST"
"habitat differences in the feeding ecology of red snapper (lutjanus campechanus, poey 1860): a comparison between artificial and natural reefs in the northern gulf of mexico","Simonsen, Kirsten A;Cowan, James H;Boswell, Kevin M"
"high levels of genetic connectivity among populations of yellowtail snapper, ocyurus chrysurus (lutjanidae - perciformes), in the western south atlantic revealed through multilocus analysis","Silva, Raimundo da;Veneza, Ivana;Sampaio, Iracilda;Araripe, Juliana;Schneider, Horacio;Gomes, Grazielle"
mechanisms explaining nursery habitat association: how do juvenile snapper (chrysophrys auratus) benefit from their nursery habitat?,"Parsons, Darren M;Middleton, Crispin;Spong, Keren T;Mackay, Graeme;Smith, Matt D;Buckthought, Dane"
strategic assessment of fisheries independent monitoring programs in the gulf of mexico,"Suprenand, Paul Mark;Drexler, Michael;Jones, David L;Ainsworth, Cameron H"
temporal stability of genetic variability and differentiation in the three-spined stickleback (gasterosteus aculeatus),"DeFaveri, Jacquelin;Merilä, Juha"
"from shelf to shelf: assessing historical and contemporary genetic differentiation and connectivity across the gulf of mexico in gag, mycteroperca microlepis","Jue, Nathaniel K;Brulé, Thierry;Coleman, Felicia C;Koenig, Christopher C"
evidence of prey partition for the three sympatric chromis species (perciformes: pomacentridae) based on ecomorphological analyses,"Song, Young Sun;Kim, Jin-koo"
dichelyne (cucullanellus) romani n. sp. (nematoda: cucullanidae) in notacanthid fishes from the northeast atlantic and western mediterranean,"Isbert, Wolf;Montero, Francisco Esteban;Carrassón, Maite;González-solís, David"
the effect of an artificial reef system on the transient fish assemblages - south-eastern coast of brazil,"Da Rocha, Diogo Fonseca;Franco, Marcos Alberto Lima;Gatts, Pedro Vianna;Zalmon, Ilana Rosental"
screening for petrochemical contamination in seafood by headspace solid-phase microextraction gas chromatography-mass spectrometry,"Bencsath, F Aladar;Benner, Ronald A, Jr;Abraham, Ann;Wang, Yuesong;El Said, Kathleen R;Jester, Edward L; E;Plakas, Steven M"
"community structure of skin microbiome of gulf killifish, fundulus grandis, is driven by seasonality and not exposure to oiled sediments in a louisiana salt marsh","Larsen, Andrea M;Bullard, Stephen A;Womble, Matthew;Arias, Covadonga R"
"short-term fidelity, habitat use and vertical movement behavior of the black rockfish sebastes schlegelii as determined by acoustic telemetry","Zhang, Yingqiu;Xu, Qiang;Alós, Josep;Liu, Hui;Xu, Qinzeng;Yang, Hongsheng"
nowcasting intraseasonal recreational fishing harvest with internet search volume,"Carter, David W;Crosson, Scott;Liese, Christopher"
long-term patterns in estuarine fish growth across two climatically divergent regions,"Doubleday, Zoë A;Izzo, Christopher;Haddy, James A;Lyle, Jeremy M;Ye, Qifeng;Gillanders, Bronwyn M"
high-grading and over-quota discarding in mixed fisheries,"Batsleer, J;Hamon, K G;van Overzee, H M; J;Rijnsdorp, A D;Poos, J J"
development of the rostrum and upper jaws in squirrelfishes and soldierfishes (beryciformes: holocentridae): a unique ontogenetic trajectory,"Johnson, G David;Schnell, Nalani K"
"the life cycle of huffmanela huffmani moravec, 1987 (nematoda: trichosomoididae), an endemic marine-relict parasite of centrarchidae from a central texas spring","Worsham, McLean L D;Huffman, David G;Moravec, Frantisek;Gibson, J Randy"
microbiota of wild-caught red snapper lutjanus campechanus,"Tarnecki, Andrea M;Patterson, William F;Arias, Covadonga R"
the potential for unreported artificial reefs to serve as refuges from fishing mortality for reef fishes,"Addis, Dustin T;Patterson, William F, III;Dance, Michael A"
"mercury, selenium and fish oils in marine food webs and implications for human health","Gribble, Matthew O;Karimi, Roxanne;Feingold, Beth J;Nyland, Jennifer F;O'Hara, Todd M;Gladyshev, Michail I;Chen, Celia Y"
"variation of feeding habits of lutjanus peru (actinopterygii: perciformes: lutjanidae) caught in two regions of the gulf of california, mexico","Moreno-Sanchez, Xchel G;Abitia-Cardenas, Leonardo A;Trujillo-Retana, Gisela;Navia, Andrés F;Ramírez-Pérez, Jorge S;Shirasago-German, Bernardo"
