DECSLAT,DECSLON,year,month,day,CPUE
30.15,-88.01,1997,6,4,0
30.18,-88.31,1997,6,4,0
30.08,-88.41,1997,6,4,0
30.03,-88.46,1997,6,4,0
29.86,-88.34,1997,6,4,0.023809523809523808
30,-88.25,1997,6,4,0
30.03,-88.21,1997,6,4,0
30.1,-88.09,1997,6,4,0
30.18,-88.05,1991,6,3,0
30.2,-88.3,1991,6,3,0
30.22,-88.28,1991,6,3,0
30.17,-88.3,1991,6,3,0.4
30.16,-88.31,1991,6,3,0.08
30.09,-88.1,1991,6,3,0.125
30.03,-88.18,1991,6,5,0
30.01,-88.19,1991,6,5,0.358974358974359
30.02,-88.17,1991,6,5,0
30.06,-88.18,1991,6,5,0
30.16,-88.09,1994,6,2,0
30.23,-88.2,1994,6,2,0
30.12,-88.47,1994,6,2,0
30.18,-88.41,1994,6,2,0.047619047619047616
30.14,-88.28,1994,6,2,0.03125
29.94,-88.24,1994,6,9,0.11764705882352941
30.03,-88.15,1994,6,9,0
30.14,-88.15,1994,6,9,0.16666666666666666
30.2,-88.1,1993,6,3,0
30.2,-88.31,1993,6,3,0
30.19,-88.43,1993,6,3,0
30.09,-88.49,1993,6,3,0
30.02,-88.38,1993,6,3,0
30.19,-88.26,1993,6,3,0.10344827586206896
30.13,-88.22,1993,6,3,0.1
30.06,-88.2,1993,6,3,0
30.08,-88.45,1993,6,11,0
30.01,-88.35,1993,6,11,0
30.21,-87.33,1983,6,1,0
30.21,-87.33,1983,6,1,0
30.24,-87.29,1983,6,1,0
30.3,-87.24,1983,6,2,0
30.28,-87.24,1983,6,2,0
30.26,-87.19,1983,6,2,0
30,-87.12,1983,6,2,0.5
30.11,-86.99,1983,6,3,0
30.11,-86.95,1983,6,3,0
29.45,-86.04,1983,6,3,0
29.4,-85.88,1983,6,3,0
29.36,-85.6,1983,6,4,0
29.2,-85.58,1983,6,4,0
29.88,-86.28,1983,6,4,0
29.93,-86.27,1983,6,4,0
29.97,-85.99,1983,6,5,0
30.1,-85.86,1983,6,5,0
30.05,-85.7,1983,6,5,0
30.28,-86.03,1983,6,5,0
30.22,-86.12,1983,6,5,0
30.37,-86.47,1983,6,6,0
30.38,-86.55,1983,6,6,0
30.32,-86.55,1983,6,6,0
30.38,-86.81,1983,6,6,0
30.1,-86.54,1983,6,6,0
30.15,-86.69,1983,6,6,0
30.19,-86.69,1983,6,6,0
30.16,-86.76,1983,6,7,0
30.19,-86.79,1983,6,7,0
30.18,-86.85,1983,6,7,0
30.13,-86.85,1983,6,7,0
30.12,-86.82,1983,6,7,0
29.56,-88.59,1983,6,7,0
29.57,-88.64,1983,6,7,0
29.36,-88.8,1983,6,8,0
29.3,-88.93,1983,6,8,0
29.77,-88.75,1983,6,8,0
29.77,-88.75,1983,6,8,0.2
29.77,-88.71,1983,6,8,0
29.77,-88.71,1983,6,8,0
29.8,-88.58,1983,6,8,0
29.8,-88.58,1983,6,8,0
29.88,-88.54,1983,6,9,0
29.88,-88.54,1983,6,9,0
29.96,-88.6,1983,6,9,0
29.96,-88.6,1983,6,9,0.034482758620689655
29.88,-88.65,1983,6,9,0
29.88,-88.65,1983,6,9,0
29.43,-87.94,1983,6,9,0.21428571428571427
29.38,-88.32,1983,6,9,0
29.55,-88.28,1983,6,10,0.26666666666666666
29.81,-88.21,1983,6,10,0.03333333333333333
28.54,-91.17,1983,6,13,0
28.58,-91.2,1983,6,13,0
28.63,-91.12,1983,6,13,0
28.67,-91.19,1983,6,14,0
28.75,-91.19,1983,6,14,0
28.77,-91.05,1983,6,14,0
28.95,-91.39,1983,6,14,0
28.78,-91.3,1983,6,14,0
28.68,-91.39,1983,6,15,0
28.68,-91.31,1983,6,15,0
28.61,-91.36,1983,6,15,0
29,-90.48,1983,6,15,0
29,-90.48,1983,6,15,0
28.92,-90.37,1983,6,15,0
28.92,-90.37,1983,6,15,0
28.91,-90.32,1983,6,16,0
28.91,-90.32,1983,6,16,0
28.97,-90.29,1983,6,16,0
28.97,-90.29,1983,6,16,0
29,-90.28,1983,6,16,0
29,-90.28,1983,6,16,0
28.92,-90.09,1983,6,16,0
28.92,-90.09,1983,6,16,0
28.92,-91.55,1983,6,16,0
28.76,-91.67,1983,6,16,0
28.62,-91.64,1983,6,16,0
28.59,-91.6,1983,6,17,0
28.66,-91.85,1983,6,17,0
29.16,-92.08,1983,6,17,0
29.14,-92.12,1983,6,17,0
29.05,-92.3,1983,6,17,0
29.04,-92.17,1983,6,18,0
28.78,-92.04,1983,6,18,0
29.11,-92.35,1983,6,18,0
28.98,-92.52,1983,6,18,0
28.91,-92.36,1983,6,19,0
28.87,-92.37,1983,6,19,0
28.6,-92.75,1983,6,19,0.18181818181818182
28.65,-92.77,1983,6,19,0.25
28.7,-92.69,1983,6,19,0.875
28.92,-92.81,1983,6,20,0
29.11,-92.87,1983,6,20,0
29.35,-92.6,1983,6,20,0
29.5,-92.95,1983,6,20,0
29.65,-93.07,1983,6,21,0
29.3,-93.12,1983,6,21,0
28.89,-93.18,1983,6,21,0.09090909090909091
28.75,-93.35,1983,6,21,0.25
28.57,-93.4,1983,6,22,0
28.47,-93.3,1983,6,22,0.08333333333333333
28.47,-93.15,1983,6,22,0
28.41,-93.4,1983,6,22,0
28.6,-93.55,1983,6,22,0
28.51,-93.74,1983,6,22,0.125
28.58,-93.86,1983,6,22,0
28.6,-93.9,1983,6,23,0
28.65,-93.85,1983,6,23,0.2
28.64,-93.81,1983,6,23,1.3636363636363635
28.17,-93.06,1983,6,23,0
28.22,-92.66,1983,6,23,0
28.13,-92.5,1983,6,24,0
28.16,-92.18,1983,6,24,0.3
28,-93.76,1983,6,24,0.125
28.23,-93.85,1983,6,24,0
28.36,-93.87,1983,6,25,0.26666666666666666
28.46,-93.78,1983,6,25,0
28.71,-93.69,1983,6,25,0
28.91,-93.95,1983,6,25,0.15789473684210525
28.99,-93.87,1983,6,26,0.09523809523809523
29.15,-93.67,1983,6,26,0
29.25,-93.42,1983,6,26,0
29.47,-93.54,1983,6,26,0
29.33,-93.88,1983,6,27,0
29.57,-94.03,1983,6,29,0
29.47,-94.39,1983,6,30,0
29.32,-94.4,1983,6,30,0
28.98,-94.2,1983,6,30,0
28.68,-94.02,1983,7,1,0
28.52,-94.07,1983,7,1,0
28.43,-94.25,1983,7,1,0
28.57,-94.53,1983,7,1,0.15384615384615385
28.42,-94.61,1983,7,1,0
28.17,-94.58,1983,7,2,0.043478260869565216
27.99,-94.41,1983,7,2,0
28.02,-94.35,1983,7,2,0
28.25,-94.27,1983,7,2,0.13333333333333333
28.35,-94.32,1983,7,3,0.13333333333333333
28.54,-94.27,1983,7,3,0.2777777777777778
28.57,-94.23,1983,7,3,0
29.15,-94.86,1983,7,3,0
28.87,-94.77,1983,7,3,0.46153846153846156
29.02,-94.55,1983,7,4,0
28.79,-94.5,1983,7,4,0.3333333333333333
28.66,-94.71,1983,7,4,0.6428571428571429
28.77,-94.79,1983,7,4,0.42857142857142855
28.7,-94.95,1983,7,5,0
28.55,-94.92,1983,7,5,0
28.55,-95.05,1983,7,5,0.09090909090909091
28,-95.12,1983,7,5,0
28.14,-95.21,1983,7,6,0.1
28.06,-94.84,1983,7,6,0.1
28.17,-95.51,1983,7,6,0.05555555555555555
28.17,-95.63,1983,7,6,0
28.16,-95.73,1983,7,6,0
28.17,-95.81,1983,7,7,0
28.23,-95.69,1983,7,7,0.29411764705882354
28.25,-95.52,1983,7,7,0
27.73,-95.73,1983,7,8,0
27.79,-95.86,1983,7,9,0
27.78,-95.86,1983,7,9,0
27.91,-95.94,1983,7,9,0
27.99,-95.97,1983,7,9,0
28.8,-95.39,1983,7,10,0
28.62,-95.41,1983,7,10,0
28.57,-95.41,1983,7,10,0
28.51,-95.46,1983,7,10,2.6363636363636362
28.41,-95.61,1983,7,10,0
28.43,-95.7,1983,7,10,0
28.5,-95.63,1983,7,10,0
28.55,-95.66,1983,7,11,0
28.46,-95.79,1983,7,11,0.05
28.48,-95.86,1983,7,11,0
28.47,-95.86,1983,7,11,0
28.48,-95.92,1983,7,11,0
26.66,-96.73,1983,7,11,0
26.64,-96.93,1983,7,12,0
26.57,-97.04,1983,7,12,0
26.62,-97.13,1983,7,12,0
26.54,-97.17,1983,7,12,0
26.4,-96.9,1983,7,12,0
26.32,-96.96,1983,7,12,0
26.28,-97,1983,7,12,0
26.23,-97.05,1983,7,13,0
26.22,-97.13,1983,7,13,0
26.29,-97.18,1983,7,13,0.09090909090909091
26.09,-97.04,1983,7,13,0
26.08,-97,1983,7,13,0
26.13,-96.95,1983,7,13,0
26.15,-96.9,1983,7,13,0
26.07,-96.8,1983,7,14,0
26.12,-96.75,1983,7,14,0
28.36,-95.22,1983,7,14,0
28.48,-95.32,1983,7,15,0
29.71,-88,2004,6,9,0.3333333333333333
29.61,-88.13,2004,6,10,0.2
29.29,-88.15,2004,6,10,0
29.28,-88.34,2004,6,10,0
29.3,-88.43,2004,6,10,0
29.24,-88.54,2004,6,10,0
29.17,-88.6,2004,6,10,0
29.14,-88.64,2004,6,10,0
29.19,-88.66,2004,6,10,0
29.23,-88.68,2004,6,10,0
29.13,-88.93,2004,6,10,0
29.09,-88.93,2004,6,11,0
29.15,-88.68,2004,6,11,0
26.13,-96.37,2004,6,18,0
26.14,-96.46,2004,6,18,0.05454545454545454
26.15,-96.5,2004,6,18,0.05454545454545454
26.32,-96.57,2004,6,18,0
26.06,-96.42,2004,6,18,0
26.12,-96.92,2004,6,18,0.25
26.05,-97.12,2004,6,19,2.0952380952380953
25.99,-97.01,2004,6,19,0.25925925925925924
26.16,-96.81,2004,6,19,0
26.17,-96.77,2004,6,19,0
26.24,-96.91,2004,6,19,0.2777777777777778
26.44,-96.98,2004,6,19,0
26.66,-97.17,2004,6,19,0.4
26.71,-97.14,2004,6,19,0
26.75,-97.03,2004,6,19,0
26.31,-96.82,2004,6,20,0
26.31,-96.87,2004,6,20,0
26.53,-97.1,2004,6,20,0.08333333333333333
26.58,-97.24,2004,6,20,0
26.79,-97.29,2004,6,20,0.21052631578947367
27.05,-97.12,2004,6,20,0.030303030303030304
26.91,-97.01,2004,6,20,0
27.04,-96.95,2004,6,20,0.05454545454545454
27.05,-96.91,2004,6,20,0
26.98,-96.88,2004,6,20,0.05555555555555555
26.98,-96.83,2004,6,21,0.3684210526315789
26.97,-96.56,2004,6,21,0
26.97,-96.6,2004,6,21,0
26.84,-97.24,2004,6,21,0.391304347826087
26.83,-97.34,2004,6,21,0.2
27.07,-97.24,2004,6,21,0.027777777777777776
27.62,-97.05,2004,6,21,0
27.42,-97.03,2004,6,21,0
27.36,-97.1,2004,6,22,0
27.4,-96.97,2004,6,22,0.06666666666666667
27.37,-97.01,2004,6,22,0.043478260869565216
27.26,-97.12,2004,6,22,0
27.18,-97.11,2004,6,22,0.034482758620689655
27.05,-97.36,2004,6,22,0
27.1,-97.35,2004,6,22,0
27.17,-97.34,2004,6,22,0
27.15,-97.31,2004,6,22,1.3461538461538463
27.21,-97.31,2004,6,22,0.4117647058823529
27.4,-97.21,2004,6,22,0
27.84,-97.01,2004,6,23,0
27.72,-96.9,2004,6,23,0
27.9,-96.83,2004,6,23,0
28.06,-96.51,2004,6,23,9.586206896551724
28.15,-96.43,2004,6,23,0
27.62,-96.46,2004,6,23,0.12962962962962962
27.31,-96.58,2004,6,23,0.019230769230769232
27.29,-96.54,2004,6,23,0
27.64,-96.44,2004,6,24,0.038461538461538464
27.67,-96.31,2004,6,24,0
27.77,-95.99,2004,6,24,0
28.13,-95.94,2004,6,24,0.02631578947368421
28.14,-95.99,2004,6,24,0
28.15,-95.85,2004,6,24,0.20833333333333334
27.78,-95.54,2004,6,24,0
27.77,-95.55,2004,6,25,0
28.04,-95.78,2004,6,25,0.03636363636363636
28.09,-95.83,2004,6,25,0.2962962962962963
28.16,-95.97,2004,6,25,0
28.46,-95.34,2004,6,25,0.2926829268292683
28.61,-95.28,2004,6,25,0.14705882352941177
28.77,-95.38,2004,6,25,0
28.61,-95.42,2004,6,26,0
28.49,-95.51,2004,6,26,0.03571428571428571
28.51,-95.69,2004,6,26,0
28.26,-95.61,2004,6,26,0.043478260869565216
27.91,-95.2,2004,6,26,0
28.01,-95.22,2004,6,26,0.23636363636363636
28.06,-95.23,2004,6,26,0.17857142857142858
28.03,-94.94,2004,6,26,0
28.12,-95.06,2004,6,26,0.09259259259259259
28.16,-95.07,2004,6,26,0.18518518518518517
28.21,-95.08,2004,6,27,0.32142857142857145
28.32,-95.17,2004,6,27,0.037037037037037035
28.23,-95.13,2004,6,27,0
28.03,-95.15,2004,6,27,0.03636363636363636
28.07,-95.14,2004,6,27,0
27.95,-94.73,2004,6,27,0
28.02,-94.02,2004,6,27,0
27.97,-93.95,2004,6,28,0
27.99,-94.33,2004,6,28,0
28.03,-94.82,2004,6,28,0.0196078431372549
28.37,-95,2004,6,28,0
28.33,-94.96,2004,6,28,0.6727272727272727
28.62,-94.78,2004,6,28,0.07142857142857142
28.68,-94.38,2004,6,29,0.4666666666666667
28.6,-94.64,2004,6,29,0.08888888888888889
28.65,-94.95,2004,6,29,0
29.04,-94.51,2004,6,29,0
29.1,-95.02,2004,6,29,0
28.84,-94.98,2004,6,29,0.1568627450980392
28.8,-94.95,2004,6,29,0.14285714285714285
29,-95.15,2004,6,30,0
29.03,-95.09,2004,6,30,0
29.1,-95.02,2004,6,30,0
29.05,-94.91,2004,6,30,0.02127659574468085
29.36,-94.64,2004,6,30,0
29.37,-94.46,2004,6,30,0
29.33,-94.44,2004,6,30,0
28.91,-94.37,2004,7,1,0.7692307692307693
29.19,-94.65,2004,7,1,0
28.83,-94.23,2004,7,3,0.16363636363636364
28.79,-94.23,2004,7,3,0.12121212121212122
28.95,-93.95,2004,7,3,0.04
28.62,-93.99,2004,7,3,0.5625
28.79,-93.82,2004,7,3,0.24561403508771928
28.76,-93.85,2004,7,3,0
28.49,-94.08,2004,7,3,0.41818181818181815
28.45,-94.08,2004,7,3,0.1111111111111111
28.45,-93.94,2004,7,3,0.07272727272727272
28.49,-93.92,2004,7,3,0.045454545454545456
28.55,-93.8,2004,7,4,0.8
28.46,-93.54,2004,7,4,0.03773584905660377
28.58,-93.58,2004,7,4,0.03773584905660377
28.67,-93.66,2004,7,4,0.2857142857142857
28.66,-93.43,2004,7,4,0.38095238095238093
28.56,-93.75,2004,7,4,0.6181818181818182
28.47,-93.56,2004,7,4,0.03636363636363636
28.42,-93.56,2004,7,4,0.05454545454545454
28.38,-93.55,2004,7,4,0
28.13,-93.43,2004,7,4,0
28.13,-93.44,2004,7,4,0
28.08,-93.44,2004,7,5,0
28.14,-93.32,2004,7,5,0
28.06,-93.22,2004,7,5,0
28.03,-93.21,2004,7,5,0
28,-92.77,2004,7,5,0
28.76,-92.96,2004,7,6,0.39285714285714285
28.8,-92.87,2004,7,6,0.18181818181818182
28.85,-92.99,2004,7,6,6.833333333333333
